file_id,location,state,time_zone,latitude,longitude,elevation
690150,"TWENTYNINE PALMS",CA,-8.0,34.300,-116.167,626
722860,"MARCH AFB",CA,-8.0,33.900,-117.250,462
722868,"PALM SPRINGS INTL",CA,-8.0,33.833,-116.500,145
722869,"RIVERSIDE MUNI",CA,-8.0,33.950,-117.450,256
722880,"BURBANK-GLENDALE-PASSADENA AP",CA,-8.0,34.200,-118.350,226
722885,"SANTA MONICA MUNI",CA,-8.0,34.017,-118.450,53
722886,"VAN NUYS AIRPORT",CA,-8.0,34.217,-118.483,235
722895,"LOMPOC (AWOS)",CA,-8.0,34.667,-120.467,27
722897,"SAN LUIS CO RGNL",CA,-8.0,35.233,-120.633,66
722899,"CHINO AIRPORT",CA,-8.0,33.967,-117.633,198
722900,"SAN DIEGO LINDBERGH FIELD",CA,-8.0,32.733,-117.167,4
722903,"SAN DIEGO/MONTGOMER",CA,-8.0,32.817,-117.133,129
722904,"CHULA VISTA BROWN FIELD NAAS",CA,-8.0,32.583,-116.983,159
722906,"SAN DIEGO NORTH ISLAND NAS",CA,-8.0,32.700,-117.200,15
722926,"CAMP PENDLETON MCAS",CA,-8.0,33.300,-117.350,23
722927,"CARLSBAD/PALOMAR",CA,-8.0,33.133,-117.283,100
722930,"SAN DIEGO MIRAMAR NAS",CA,-8.0,32.867,-117.133,140
722950,"LOS ANGELES INTL ARPT",CA,-8.0,33.933,-118.400,30
722956,"JACK NORTHROP FLD H",CA,-8.0,33.917,-118.333,21
722970,"LONG BEACH DAUGHERTY FLD",CA,-8.0,33.833,-118.167,8
722976,"FULLERTON MUNICIPAL",CA,-8.0,33.867,-117.983,29
722977,"SANTA ANA JOHN WAYNE AP",CA,-8.0,33.683,-117.867,16
723805,"NEEDLES AIRPORT",CA,-8.0,34.767,-114.617,279
723810,"EDWARDS AFB",CA,-8.0,34.900,-117.867,706
723815,"DAGGETT BARSTOW-DAGGETT AP",CA,-8.0,34.850,-116.800,586
723816,"LANCASTER GEN WM FOX FIELD",CA,-8.0,34.733,-118.217,713
723820,"PALMDALE AIRPORT",CA,-8.0,34.633,-118.083,769
723830,"SANDBERG",CA,-8.0,34.750,-118.717,1377
723840,"BAKERSFIELD MEADOWS FIELD",CA,-8.0,35.433,-119.050,149
723890,"FRESNO YOSEMITE INTL AP",CA,-8.0,36.783,-119.717,102
723895,"PORTERVILLE (AWOS)",CA,-8.0,36.033,-119.067,135
723896,"VISALIA MUNI (AWOS)",CA,-8.0,36.317,-119.400,89
723910,"POINT MUGU NF",CA,-8.0,34.117,-119.117,3
723925,"SANTA BARBARA MUNICIPAL AP",CA,-8.0,34.433,-119.850,3
723926,"CAMARILLO (AWOS)",CA,-8.0,34.217,-119.083,23
723927,"OXNARD AIRPORT",CA,-8.0,34.200,-119.200,11
723940,"SANTA MARIA PUBLIC ARPT",CA,-8.0,34.917,-120.467,77
723965,"PASO ROBLES MUNICIPAL ARPT",CA,-8.0,35.667,-120.633,244
